participant,jatosid,prolificid,condition,aihuman,matrixnumber,matrixtype,togetheropposed,statvar,answer,finalanswer,rt
1,454870,60fd6f9415eb439519906092,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,1,7,7,16108.600000023842
1,454870,60fd6f9415eb439519906092,Original AI StatVarR Matrix4 MDvsMIP/MJP Together MoreCongruent,AI,4,2,1,2,9,3,1363.8999999761581
1,454870,60fd6f9415eb439519906092,Original AI StatVarR Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,2,10,2,9350.0
1,454870,60fd6f9415eb439519906092,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed MoreCongruent,AI,5,3,2,2,7,5,5465.700000047684
1,454870,60fd6f9415eb439519906092,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,1,3,3,1098.1000000238419
1,454870,60fd6f9415eb439519906092,Original AI StatVarL Matrix2 FAVvsMJP Together MoreCongruent,AI,2,1,1,1,2,2,1144.3000000715256
1,454870,60fd6f9415eb439519906092,Original AI StatVarL Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,1,11,11,3744.0
1,454870,60fd6f9415eb439519906092,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,2,7,5,2015.6999999284744
1,454870,60fd6f9415eb439519906092,NotOriginal AI StatVarL Matrix6 FAVvsP Together MoreCongruent,AI,6,3,1,1,5,5,5864.0
1,454870,60fd6f9415eb439519906092,Original AI StatVarR Matrix1 FAVvsMJP Opposed MoreCongruent,AI,1,1,2,2,8,4,1271.5
1,454870,60fd6f9415eb439519906092,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together MoreCongruent,AI,2,1,1,2,4,8,1662.2000000476837
1,454870,60fd6f9415eb439519906092,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed MoreCongruent,AI,3,2,2,1,5,5,7905.800000071526
2,454869,62c63c653a49b220cb390bdb,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,1,0,0,8092.699999928474
2,454869,62c63c653a49b220cb390bdb,Original AI StatVarL Matrix2 FAVvsMJP Together MoreCongruent,AI,2,1,1,1,9,9,2461.899999976158
2,454869,62c63c653a49b220cb390bdb,Original AI StatVarR Matrix1 FAVvsMJP Opposed MoreCongruent,AI,1,1,2,2,4,8,5406.299999952316
2,454869,62c63c653a49b220cb390bdb,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,2,6,6,5245.899999976158
2,454869,62c63c653a49b220cb390bdb,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,1,9,9,3941.600000023842
2,454869,62c63c653a49b220cb390bdb,Original AI StatVarR Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,2,0,12,1997.9000000953674
2,454869,62c63c653a49b220cb390bdb,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together MoreCongruent,AI,4,2,1,1,7,7,4421.5
2,454869,62c63c653a49b220cb390bdb,NotOriginal AI StatVarL Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,1,0,0,1837.9000000953674
2,454869,62c63c653a49b220cb390bdb,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,2,6,6,2485.600000023842
2,454869,62c63c653a49b220cb390bdb,Original AI StatVarL Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,1,9,9,3901.399999976158
2,454869,62c63c653a49b220cb390bdb,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed MoreCongruent,AI,5,3,2,2,3,9,3334.100000023842
2,454869,62c63c653a49b220cb390bdb,Original AI StatVarR Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,2,9,3,2390.1999999284744
3,454886,63d17cf82715a833d22d42fb,Original AI StatVarR Matrix4 MDvsMIP/MJP Together MoreCongruent,AI,4,2,1,2,10,2,53231.5
3,454886,63d17cf82715a833d22d42fb,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,2,0,12,33412.5
3,454886,63d17cf82715a833d22d42fb,Original AI StatVarR Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,2,0,12,26617.399999976158
3,454886,63d17cf82715a833d22d42fb,Original AI StatVarR Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,2,12,0,40338.60000002384
