pid,group,matrix_name,condition,response
1,AI,MDvsMIP/MJP,together,7
1,AI,MDvsMIP/MJP,together,3
1,AI,FAVvsP,together,2
1,AI,FAVvsP,opposed,5
1,AI,FAVvsMJP,opposed,3
1,AI,FAVvsMJP,together,2
1,AI,FAVvsP,opposed,11
1,AI,MDvsMIP/MJP,opposed,5
1,AI,FAVvsP,together,5
1,AI,FAVvsMJP,opposed,4
1,AI,FAVvsMJP,together,8
1,AI,MDvsMIP/MJP,opposed,5
2,AI,MDvsMIP/MJP,opposed,0
2,AI,FAVvsMJP,together,9
2,AI,FAVvsMJP,opposed,8
2,AI,FAVvsMJP,together,6
2,AI,FAVvsMJP,opposed,9
2,AI,MDvsMIP/MJP,together,12
2,AI,MDvsMIP/MJP,together,7
2,AI,FAVvsP,together,0
2,AI,MDvsMIP/MJP,opposed,6
2,AI,FAVvsP,opposed,9
2,AI,FAVvsP,opposed,9
2,AI,FAVvsP,together,3
3,AI,MDvsMIP/MJP,together,2
3,AI,FAVvsP,opposed,12
3,AI,FAVvsMJP,opposed,12
3,AI,FAVvsP,together,0
3,AI,MDvsMIP/MJP,opposed,0
3,AI,MDvsMIP/MJP,together,0
3,AI,MDvsMIP/MJP,opposed,2
3,AI,FAVvsMJP,together,3
3,AI,FAVvsMJP,opposed,12
3,AI,FAVvsMJP,together,2
3,AI,FAVvsP,together,12
3,AI,FAVvsP,opposed,9
4,AI,MDvsMIP/MJP,opposed,7
4,AI,MDvsMIP/MJP,together,2
4,AI,MDvsMIP/MJP,opposed,0
4,AI,FAVvsMJP,together,0
4,AI,FAVvsP,opposed,12
4,AI,FAVvsP,opposed,12
4,AI,FAVvsMJP,opposed,12
4,AI,FAVvsMJP,together,0
4,AI,FAVvsP,together,0
4,AI,FAVvsMJP,opposed,12
4,AI,FAVvsP,together,12
4,AI,MDvsMIP/MJP,together,3
5,AI,MDvsMIP/MJP,opposed,0
5,AI,FAVvsMJP,opposed,12
5,AI,FAVvsP,opposed,12
5,AI,FAVvsMJP,together,0
5,AI,FAVvsP,together,0
5,AI,FAVvsMJP,together,0
5,AI,FAVvsP,opposed,12
5,AI,MDvsMIP/MJP,opposed,0
