pid,group,matrix_name,together,opposed,pull
1,AI,FAVvsMJP,5,3.5,-1.5
1,AI,MDvsMIP/MJP,5,5,0
1,AI,FAVvsP,3.5,8,4.5
2,AI,FAVvsMJP,7.5,8.5,1
2,AI,MDvsMIP/MJP,9.5,3,-6.5
2,AI,FAVvsP,1.5,9,7.5
3,AI,FAVvsMJP,2.5,12,9.5
3,AI,MDvsMIP/MJP,1,1,0
3,AI,FAVvsP,6,10.5,4.5
4,AI,FAVvsMJP,0,12,12
4,AI,MDvsMIP/MJP,2.5,3.5,1
4,AI,FAVvsP,6,12,6
5,AI,FAVvsMJP,0,12,12
5,AI,MDvsMIP/MJP,0,0,0
5,AI,FAVvsP,0,12,12
6,AI,FAVvsMJP,3,9.5,6.5
6,AI,MDvsMIP/MJP,3.5,6,2.5
6,AI,FAVvsP,5,9,4
7,AI,FAVvsMJP,5,6,1
7,AI,MDvsMIP/MJP,0,0,0
7,AI,FAVvsP,0,4,4
8,AI,FAVvsMJP,0.5,7.5,7
8,AI,MDvsMIP/MJP,0,7.5,7.5
8,AI,FAVvsP,0,6,6
9,AI,FAVvsMJP,3,9,6
9,AI,MDvsMIP/MJP,1,10,9
9,AI,FAVvsP,0,4.5,4.5
10,AI,FAVvsMJP,5.5,6.5,1
10,AI,MDvsMIP/MJP,6.5,7.5,1
10,AI,FAVvsP,5.5,7.5,2
11,AI,FAVvsMJP,0.5,12,11.5
11,AI,MDvsMIP/MJP,1.5,8,6.5
11,AI,FAVvsP,0.5,11,10.5
12,AI,FAVvsMJP,5.5,8,2.5
12,AI,MDvsMIP/MJP,6,5,-1
12,AI,FAVvsP,1.5,0,-1.5
13,AI,FAVvsMJP,5,7.5,2.5
13,AI,MDvsMIP/MJP,3.5,7.5,4
13,AI,FAVvsP,0,2.5,2.5
14,AI,FAVvsMJP,1,2,1
14,AI,MDvsMIP/MJP,6.5,4.5,-2
14,AI,FAVvsP,2.5,4.5,2
15,AI,FAVvsMJP,11.5,5.5,-6
15,AI,MDvsMIP/MJP,10,9,-1
15,AI,FAVvsP,11,0.5,-10.5
16,AI,FAVvsMJP,5.5,9,3.5
16,AI,MDvsMIP/MJP,5,4,-1
16,AI,FAVvsP,0,0,0
17,AI,FAVvsMJP,7,6,-1
17,AI,MDvsMIP/MJP,6.5,4,-2.5
17,AI,FAVvsP,7,6,-1
18,AI,FAVvsMJP,3.5,6,2.5
18,AI,MDvsMIP/MJP,4,9.5,5.5
18,AI,FAVvsP,0,3.5,3.5
19,AI,FAVvsMJP,0,12,12
19,AI,MDvsMIP/MJP,0,0,0
19,AI,FAVvsP,0,12,12
20,AI,FAVvsMJP,3.5,8.5,5
20,AI,MDvsMIP/MJP,1,8.5,7.5
20,AI,FAVvsP,0,3.5,3.5
21,AI,FAVvsMJP,6,6.5,0.5
21,AI,MDvsMIP/MJP,4.5,5,0.5
21,AI,FAVvsP,5,6.5,1.5
22,AI,FAVvsMJP,3.5,10,6.5
22,AI,MDvsMIP/MJP,3.5,8.5,5
22,AI,FAVvsP,3.5,7.5,4
23,AI,FAVvsMJP,6,6,0
23,AI,MDvsMIP/MJP,0.5,3,2.5
23,AI,FAVvsP,0,2.5,2.5
24,AI,FAVvsMJP,5.5,8,2.5
24,AI,MDvsMIP/MJP,6.5,8,1.5
24,AI,FAVvsP,0,1.5,1.5
25,AI,FAVvsMJP,6,10.5,4.5
25,AI,MDvsMIP/MJP,3,5,2
25,AI,FAVvsP,0.5,4,3.5
26,AI,FAVvsMJP,2.5,6,3.5
26,AI,MDvsMIP/MJP,4.5,1,-3.5
26,AI,FAVvsP,6,5,-1
27,AI,FAVvsMJP,0,7,7
27,AI,MDvsMIP/MJP,2,0,-2
27,AI,FAVvsP,7.5,5,-2.5
28,AI,FAVvsMJP,6,6,0
28,AI,MDvsMIP/MJP,6,6,0
28,AI,FAVvsP,0,0,0
29,AI,FAVvsMJP,6,6,0
29,AI,MDvsMIP/MJP,6,6,0
29,AI,FAVvsP,0,0,0
30,AI,FAVvsMJP,6,6,0
30,AI,MDvsMIP/MJP,6,6,0
30,AI,FAVvsP,6,6,0
31,AI,FAVvsMJP,7,6.5,-0.5
31,AI,MDvsMIP/MJP,3.5,7.5,4
31,AI,FAVvsP,5.5,8.5,3
32,AI,FAVvsMJP,4,8.5,4.5
32,AI,MDvsMIP/MJP,2.5,8.5,6
32,AI,FAVvsP,4,5.5,1.5
33,AI,FAVvsMJP,0,12,12
33,AI,MDvsMIP/MJP,0,11.5,11.5
33,AI,FAVvsP,0,6,6
34,AI,FAVvsMJP,0,6,6
34,AI,MDvsMIP/MJP,0,0,0
34,AI,FAVvsP,0,0,0
35,AI,FAVvsMJP,0,12,12
35,AI,MDvsMIP/MJP,0,0,0
35,AI,FAVvsP,0,12,12
36,AI,FAVvsMJP,5,3.5,-1.5
36,AI,MDvsMIP/MJP,6.5,9.5,3
36,AI,FAVvsP,8,8,0
37,AI,FAVvsMJP,0,12,12
37,AI,MDvsMIP/MJP,0,0,0
37,AI,FAVvsP,0,12,12
38,AI,FAVvsMJP,2.5,10.5,8
38,AI,MDvsMIP/MJP,1.5,9,7.5
38,AI,FAVvsP,0.5,7,6.5
39,AI,FAVvsMJP,11,5,-6
39,AI,MDvsMIP/MJP,8.5,6.5,-2
39,AI,FAVvsP,5,6.5,1.5
40,AI,FAVvsMJP,7,6.5,-0.5
40,AI,MDvsMIP/MJP,12,12,0
40,AI,FAVvsP,0,0,0
41,AI,FAVvsMJP,6.5,6.5,0
41,AI,MDvsMIP/MJP,9,6.5,-2.5
41,AI,FAVvsP,6.5,6,-0.5
42,AI,FAVvsMJP,6,6,0
42,AI,MDvsMIP/MJP,5.5,3,-2.5
42,AI,FAVvsP,2,6,4
43,AI,FAVvsMJP,7.5,5,-2.5
43,AI,MDvsMIP/MJP,5.5,10.5,5
43,AI,FAVvsP,6,11,5
44,AI,FAVvsMJP,4,8.5,4.5
44,AI,MDvsMIP/MJP,4,7,3
44,AI,FAVvsP,4,5.5,1.5
45,AI,FAVvsMJP,3,7.5,4.5
45,AI,MDvsMIP/MJP,2.5,7.5,5
45,AI,FAVvsP,0,5,5
46,AI,FAVvsMJP,0,12,12
46,AI,MDvsMIP/MJP,0,0,0
46,AI,FAVvsP,0,12,12
47,AI,FAVvsMJP,2.5,9,6.5
47,AI,MDvsMIP/MJP,5.5,4.5,-1
47,AI,FAVvsP,0,7.5,7.5
48,AI,FAVvsMJP,12,6,-6
48,AI,MDvsMIP/MJP,0,2,2
48,AI,FAVvsP,9,6,-3
49,AI,FAVvsMJP,6,6,0
49,AI,MDvsMIP/MJP,6,6,0
49,AI,FAVvsP,6,4,-2
50,AI,FAVvsMJP,3,4,1
50,AI,MDvsMIP/MJP,7.5,7,-0.5
50,AI,FAVvsP,6,5.5,-0.5
51,AI,FAVvsMJP,3,9,6
51,AI,MDvsMIP/MJP,4,5,1
51,AI,FAVvsP,3.5,8,4.5
52,AI,FAVvsMJP,8.5,7,-1.5
52,AI,MDvsMIP/MJP,9,9.5,0.5
52,AI,FAVvsP,8,3,-5
53,AI,FAVvsMJP,4.5,9.5,5
53,AI,MDvsMIP/MJP,8.5,5,-3.5
53,AI,FAVvsP,4,8.5,4.5
54,AI,FAVvsMJP,3,7,4
54,AI,MDvsMIP/MJP,3,5,2
54,AI,FAVvsP,6,0,-6
55,AI,FAVvsMJP,5.5,8,2.5
55,AI,MDvsMIP/MJP,8.5,4,-4.5
55,AI,FAVvsP,6,6,0
56,AI,FAVvsMJP,3.5,6.5,3
56,AI,MDvsMIP/MJP,0,0,0
56,AI,FAVvsP,0,6.5,6.5
57,AI,FAVvsMJP,5.5,4.5,-1
57,AI,MDvsMIP/MJP,7,5,-2
57,AI,FAVvsP,4.5,9,4.5
58,AI,FAVvsMJP,12,0,-12
58,AI,MDvsMIP/MJP,12,6,-6
58,AI,FAVvsP,6.5,1.5,-5
59,AI,FAVvsMJP,6.5,4.5,-2
59,AI,MDvsMIP/MJP,6,10.5,4.5
59,AI,FAVvsP,10.5,6,-4.5
60,AI,FAVvsMJP,3.5,9.5,6
60,AI,MDvsMIP/MJP,1.5,0.5,-1
60,AI,FAVvsP,0,9,9
61,AI,FAVvsMJP,0,12,12
61,AI,MDvsMIP/MJP,0,0,0
61,AI,FAVvsP,0,6,6
62,AI,FAVvsMJP,6.5,6,-0.5
62,AI,MDvsMIP/MJP,10,6,-4
62,AI,FAVvsP,9,6,-3
63,AI,FAVvsMJP,5.5,8.5,3
63,AI,MDvsMIP/MJP,7,6,-1
63,AI,FAVvsP,5,5,0
64,AI,FAVvsMJP,6.5,5,-1.5
64,AI,MDvsMIP/MJP,3,0.5,-2.5
64,AI,FAVvsP,4,4,0
65,AI,FAVvsMJP,0,12,12
65,AI,MDvsMIP/MJP,0,0,0
65,AI,FAVvsP,0,11.5,11.5
66,AI,FAVvsMJP,5,5.5,0.5
66,AI,MDvsMIP/MJP,5,8.5,3.5
66,AI,FAVvsP,4,7,3
67,AI,FAVvsMJP,3,12,9
67,AI,MDvsMIP/MJP,0,5,5
67,AI,FAVvsP,0.5,12,11.5
68,AI,FAVvsMJP,3,12,9
68,AI,MDvsMIP/MJP,0,0,0
68,AI,FAVvsP,0,12,12
69,AI,FAVvsMJP,0,12,12
69,AI,MDvsMIP/MJP,0,6,6
69,AI,FAVvsP,0,12,12
70,AI,FAVvsMJP,3.5,7,3.5
70,AI,MDvsMIP/MJP,0,0,0
70,AI,FAVvsP,0,6,6
71,AI,FAVvsMJP,1,4,3
71,AI,MDvsMIP/MJP,1.5,0,-1.5
71,AI,FAVvsP,1.5,6,4.5
