pid,condition,pull
1,AI_FAVvsMJP,-1.5
1,AI_MDvsMIP/MJP,0
1,AI_FAVvsP,4.5
2,AI_FAVvsMJP,1
2,AI_MDvsMIP/MJP,-6.5
2,AI_FAVvsP,7.5
3,AI_FAVvsMJP,9.5
3,AI_MDvsMIP/MJP,0
3,AI_FAVvsP,4.5
4,AI_FAVvsMJP,12
4,AI_MDvsMIP/MJP,1
4,AI_FAVvsP,6
5,AI_FAVvsMJP,12
5,AI_MDvsMIP/MJP,0
5,AI_FAVvsP,12
6,AI_FAVvsMJP,6.5
6,AI_MDvsMIP/MJP,2.5
6,AI_FAVvsP,4
7,AI_FAVvsMJP,1
7,AI_MDvsMIP/MJP,0
7,AI_FAVvsP,4
8,AI_FAVvsMJP,7
8,AI_MDvsMIP/MJP,7.5
8,AI_FAVvsP,6
9,AI_FAVvsMJP,6
9,AI_MDvsMIP/MJP,9
9,AI_FAVvsP,4.5
10,AI_FAVvsMJP,1
10,AI_MDvsMIP/MJP,1
10,AI_FAVvsP,2
11,AI_FAVvsMJP,11.5
11,AI_MDvsMIP/MJP,6.5
11,AI_FAVvsP,10.5
12,AI_FAVvsMJP,2.5
12,AI_MDvsMIP/MJP,-1
12,AI_FAVvsP,-1.5
13,AI_FAVvsMJP,2.5
13,AI_MDvsMIP/MJP,4
13,AI_FAVvsP,2.5
14,AI_FAVvsMJP,1
14,AI_MDvsMIP/MJP,-2
14,AI_FAVvsP,2
15,AI_FAVvsMJP,-6
15,AI_MDvsMIP/MJP,-1
15,AI_FAVvsP,-10.5
16,AI_FAVvsMJP,3.5
16,AI_MDvsMIP/MJP,-1
16,AI_FAVvsP,0
17,AI_FAVvsMJP,-1
17,AI_MDvsMIP/MJP,-2.5
17,AI_FAVvsP,-1
18,AI_FAVvsMJP,2.5
18,AI_MDvsMIP/MJP,5.5
18,AI_FAVvsP,3.5
19,AI_FAVvsMJP,12
19,AI_MDvsMIP/MJP,0
19,AI_FAVvsP,12
20,AI_FAVvsMJP,5
20,AI_MDvsMIP/MJP,7.5
20,AI_FAVvsP,3.5
21,AI_FAVvsMJP,0.5
21,AI_MDvsMIP/MJP,0.5
21,AI_FAVvsP,1.5
22,AI_FAVvsMJP,6.5
22,AI_MDvsMIP/MJP,5
22,AI_FAVvsP,4
23,AI_FAVvsMJP,0
23,AI_MDvsMIP/MJP,2.5
23,AI_FAVvsP,2.5
24,AI_FAVvsMJP,2.5
24,AI_MDvsMIP/MJP,1.5
24,AI_FAVvsP,1.5
25,AI_FAVvsMJP,4.5
25,AI_MDvsMIP/MJP,2
25,AI_FAVvsP,3.5
