pid,group,condition,pull
1,AI,FAVvsMJP,-1.5
1,AI,MDvsMIP/MJP,0
1,AI,FAVvsP,4.5
2,AI,FAVvsMJP,1
2,AI,MDvsMIP/MJP,-6.5
2,AI,FAVvsP,7.5
3,AI,FAVvsMJP,9.5
3,AI,MDvsMIP/MJP,0
3,AI,FAVvsP,4.5
4,AI,FAVvsMJP,12
4,AI,MDvsMIP/MJP,1
4,AI,FAVvsP,6
5,AI,FAVvsMJP,12
5,AI,MDvsMIP/MJP,0
5,AI,FAVvsP,12
6,AI,FAVvsMJP,6.5
6,AI,MDvsMIP/MJP,2.5
6,AI,FAVvsP,4
7,AI,FAVvsMJP,1
7,AI,MDvsMIP/MJP,0
7,AI,FAVvsP,4
8,AI,FAVvsMJP,7
8,AI,MDvsMIP/MJP,7.5
8,AI,FAVvsP,6
9,AI,FAVvsMJP,6
9,AI,MDvsMIP/MJP,9
9,AI,FAVvsP,4.5
10,AI,FAVvsMJP,1
10,AI,MDvsMIP/MJP,1
10,AI,FAVvsP,2
11,AI,FAVvsMJP,11.5
11,AI,MDvsMIP/MJP,6.5
11,AI,FAVvsP,10.5
12,AI,FAVvsMJP,2.5
12,AI,MDvsMIP/MJP,-1
12,AI,FAVvsP,-1.5
13,AI,FAVvsMJP,2.5
13,AI,MDvsMIP/MJP,4
13,AI,FAVvsP,2.5
14,AI,FAVvsMJP,1
14,AI,MDvsMIP/MJP,-2
14,AI,FAVvsP,2
15,AI,FAVvsMJP,-6
15,AI,MDvsMIP/MJP,-1
15,AI,FAVvsP,-10.5
16,AI,FAVvsMJP,3.5
16,AI,MDvsMIP/MJP,-1
16,AI,FAVvsP,0
17,AI,FAVvsMJP,-1
17,AI,MDvsMIP/MJP,-2.5
17,AI,FAVvsP,-1
18,AI,FAVvsMJP,2.5
18,AI,MDvsMIP/MJP,5.5
18,AI,FAVvsP,3.5
19,AI,FAVvsMJP,12
19,AI,MDvsMIP/MJP,0
19,AI,FAVvsP,12
20,AI,FAVvsMJP,5
20,AI,MDvsMIP/MJP,7.5
20,AI,FAVvsP,3.5
21,AI,FAVvsMJP,0.5
21,AI,MDvsMIP/MJP,0.5
21,AI,FAVvsP,1.5
22,AI,FAVvsMJP,6.5
22,AI,MDvsMIP/MJP,5
22,AI,FAVvsP,4
23,AI,FAVvsMJP,0
23,AI,MDvsMIP/MJP,2.5
23,AI,FAVvsP,2.5
24,AI,FAVvsMJP,2.5
24,AI,MDvsMIP/MJP,1.5
24,AI,FAVvsP,1.5
25,AI,FAVvsMJP,4.5
25,AI,MDvsMIP/MJP,2
25,AI,FAVvsP,3.5
