pid,group,condition,pull
96,Human,FAVvsMJP,6
96,Human,MDvsMIP/MJP,0
96,Human,FAVvsP,6
97,Human,FAVvsMJP,0
97,Human,MDvsMIP/MJP,0
97,Human,FAVvsP,0
98,Human,FAVvsMJP,12
98,Human,MDvsMIP/MJP,6
98,Human,FAVvsP,12
99,Human,FAVvsMJP,12
99,Human,MDvsMIP/MJP,7
99,Human,FAVvsP,11.5
100,Human,FAVvsMJP,3.5
100,Human,MDvsMIP/MJP,0
100,Human,FAVvsP,3
101,Human,FAVvsMJP,0.5
101,Human,MDvsMIP/MJP,0
101,Human,FAVvsP,-1.5
102,Human,FAVvsMJP,-3.5
102,Human,MDvsMIP/MJP,0.5
102,Human,FAVvsP,-6
103,Human,FAVvsMJP,3
103,Human,MDvsMIP/MJP,0
103,Human,FAVvsP,3
104,Human,FAVvsMJP,10
104,Human,MDvsMIP/MJP,-3.5
104,Human,FAVvsP,5.5
105,Human,FAVvsMJP,9.5
105,Human,MDvsMIP/MJP,1
105,Human,FAVvsP,6
106,Human,FAVvsMJP,2.5
106,Human,MDvsMIP/MJP,-2.5
106,Human,FAVvsP,2.5
107,Human,FAVvsMJP,0.5
107,Human,MDvsMIP/MJP,0.5
107,Human,FAVvsP,1
108,Human,FAVvsMJP,5.5
108,Human,MDvsMIP/MJP,2
108,Human,FAVvsP,7.5
109,Human,FAVvsMJP,4.5
109,Human,MDvsMIP/MJP,2.5
109,Human,FAVvsP,6
110,Human,FAVvsMJP,-0.5
110,Human,MDvsMIP/MJP,-3
110,Human,FAVvsP,2
111,Human,FAVvsMJP,8.5
111,Human,MDvsMIP/MJP,-2.5
111,Human,FAVvsP,8
112,Human,FAVvsMJP,3
112,Human,MDvsMIP/MJP,4.5
112,Human,FAVvsP,1
113,Human,FAVvsMJP,6
113,Human,MDvsMIP/MJP,-6
113,Human,FAVvsP,8
114,Human,FAVvsMJP,4.5
114,Human,MDvsMIP/MJP,2.5
114,Human,FAVvsP,2.5
115,Human,FAVvsMJP,1.5
115,Human,MDvsMIP/MJP,3
115,Human,FAVvsP,2
116,Human,FAVvsMJP,3
116,Human,MDvsMIP/MJP,-1.5
116,Human,FAVvsP,1.5
117,Human,FAVvsMJP,4.5
117,Human,MDvsMIP/MJP,0
117,Human,FAVvsP,3
118,Human,FAVvsMJP,5.5
118,Human,MDvsMIP/MJP,1.5
118,Human,FAVvsP,0
119,Human,FAVvsMJP,12
119,Human,MDvsMIP/MJP,-1
119,Human,FAVvsP,10
120,Human,FAVvsMJP,7.5
120,Human,MDvsMIP/MJP,4
120,Human,FAVvsP,5.5
121,Human,FAVvsMJP,3.5
121,Human,MDvsMIP/MJP,0
121,Human,FAVvsP,5.5
122,Human,FAVvsMJP,3
122,Human,MDvsMIP/MJP,0
122,Human,FAVvsP,6
123,Human,FAVvsMJP,10
123,Human,MDvsMIP/MJP,0
123,Human,FAVvsP,11
124,Human,FAVvsMJP,0.5
124,Human,MDvsMIP/MJP,0
124,Human,FAVvsP,1.5
125,Human,FAVvsMJP,0.5
125,Human,MDvsMIP/MJP,0
125,Human,FAVvsP,-1
126,Human,FAVvsMJP,3.5
126,Human,MDvsMIP/MJP,0.5
126,Human,FAVvsP,2.5
127,Human,FAVvsMJP,12
127,Human,MDvsMIP/MJP,0
127,Human,FAVvsP,12
