pid,group,matrix_name,condition,n,mean,sd,sem
1,AI,FAVvsMJP,together,2,5,4.242640687119285,2.9999999999999996
1,AI,FAVvsMJP,opposed,2,3.5,0.7071067811865476,0.5
1,AI,MDvsMIP/MJP,together,2,5,2.8284271247461903,2
1,AI,MDvsMIP/MJP,opposed,2,5,0,0
1,AI,FAVvsP,together,2,3.5,2.1213203435596424,1.4999999999999998
1,AI,FAVvsP,opposed,2,8,4.242640687119285,2.9999999999999996
2,AI,FAVvsMJP,together,2,7.5,2.1213203435596424,1.4999999999999998
2,AI,FAVvsMJP,opposed,2,8.5,0.7071067811865476,0.5
2,AI,MDvsMIP/MJP,together,2,9.5,3.5355339059327378,2.5
2,AI,MDvsMIP/MJP,opposed,2,3,4.242640687119285,2.9999999999999996
2,AI,FAVvsP,together,2,1.5,2.1213203435596424,1.4999999999999998
2,AI,FAVvsP,opposed,2,9,0,0
3,AI,FAVvsMJP,together,2,2.5,0.7071067811865476,0.5
3,AI,FAVvsMJP,opposed,2,12,0,0
3,AI,MDvsMIP/MJP,together,2,1,1.4142135623730951,1
3,AI,MDvsMIP/MJP,opposed,2,1,1.4142135623730951,1
3,AI,FAVvsP,together,2,6,8.48528137423857,5.999999999999999
3,AI,FAVvsP,opposed,2,10.5,2.1213203435596424,1.4999999999999998
4,AI,FAVvsMJP,together,2,0,0,0
4,AI,FAVvsMJP,opposed,2,12,0,0
4,AI,MDvsMIP/MJP,together,2,2.5,0.7071067811865476,0.5
4,AI,MDvsMIP/MJP,opposed,2,3.5,4.949747468305833,3.4999999999999996
4,AI,FAVvsP,together,2,6,8.48528137423857,5.999999999999999
4,AI,FAVvsP,opposed,2,12,0,0
5,AI,FAVvsMJP,together,2,0,0,0
5,AI,FAVvsMJP,opposed,2,12,0,0
5,AI,MDvsMIP/MJP,together,2,0,0,0
5,AI,MDvsMIP/MJP,opposed,2,0,0,0
5,AI,FAVvsP,together,2,0,0,0
5,AI,FAVvsP,opposed,2,12,0,0
6,AI,FAVvsMJP,together,2,3,1.4142135623730951,1
6,AI,FAVvsMJP,opposed,2,9.5,0.7071067811865476,0.5
6,AI,MDvsMIP/MJP,together,2,3.5,2.1213203435596424,1.4999999999999998
6,AI,MDvsMIP/MJP,opposed,2,6,5.656854249492381,4
6,AI,FAVvsP,together,2,5,5.656854249492381,4
6,AI,FAVvsP,opposed,2,9,0,0
7,AI,FAVvsMJP,together,2,5,1.4142135623730951,1
7,AI,FAVvsMJP,opposed,2,6,0,0
7,AI,MDvsMIP/MJP,together,2,0,0,0
7,AI,MDvsMIP/MJP,opposed,2,0,0,0
